type,weight,fragile,destination
Documents,1.6,False,Kuala Lumpur
Furniture,49.7,True,Kota Kinabalu
Documents,0.8,False,Kota Kinabalu
Clothing,0.8,False,Penang
Machinery,66.6,True,Kuching
Documents,1.9,False,Johor Bahru
Furniture,37.1,False,Kuching
Clothing,2.2,False,Penang
Clothing,3.0,False,Kuching
Machinery,49.3,False,Kota Kinabalu
Electronics,6.0,False,Johor Bahru
Machinery,56.4,False,Kuching
Machinery,48.9,False,Johor Bahru
Machinery,57.3,False,Kuching
Machinery,66.3,True,Kota Kinabalu
Machinery,62.3,False,Kota Kinabalu
Furniture,21.1,False,Penang
Food,6.4,False,Johor Bahru
Furniture,27.3,False,Kuching
Food,7.8,False,Johor Bahru
Furniture,33.3,False,Penang
Machinery,56.2,False,Penang
Machinery,45.2,False,Kota Kinabalu
Furniture,38.2,True,Kuala Lumpur
Food,8.6,False,Kuching
Furniture,49.1,False,Kuching
Food,9.3,True,Penang
Clothing,2.8,False,Johor Bahru
Documents,1.2,False,Johor Bahru
Documents,0.7,False,Kuching
Machinery,65.5,False,Penang
Clothing,3.0,False,Kuching
Documents,1.4,False,Kota Kinabalu
Furniture,26.4,True,Johor Bahru
Documents,1.6,False,Kuala Lumpur
Machinery,54.6,False,Kuching
Documents,1.9,False,Kuala Lumpur
Clothing,0.6,False,Johor Bahru
Documents,0.9,False,Kota Kinabalu
Electronics,12.6,True,Kota Kinabalu
Food,5.5,False,Kota Kinabalu
Clothing,4.4,False,Kuching
Clothing,3.6,False,Penang
Food,8.3,False,Kuching
Electronics,11.3,True,Johor Bahru
Furniture,33.3,False,Kota Kinabalu
Electronics,13.7,True,Kuala Lumpur
Documents,1.7,False,Penang
Furniture,40.0,True,Kuala Lumpur
Machinery,64.7,False,Johor Bahru
Electronics,7.6,True,Kuching
Clothing,0.9,False,Johor Bahru
Clothing,3.4,False,Kuala Lumpur
Furniture,23.2,False,Penang
Clothing,1.5,False,Kuala Lumpur
Documents,0.8,False,Kuala Lumpur
Furniture,27.6,True,Kuching
Clothing,4.3,False,Johor Bahru
Machinery,60.7,False,Johor Bahru
Machinery,36.9,False,Kuala Lumpur
Electronics,7.2,True,Kuching
Furniture,34.2,False,Kota Kinabalu
Documents,0.8,False,Kuala Lumpur
Furniture,22.0,True,Kuala Lumpur
Food,1.7,True,Penang
Electronics,8.8,True,Kuala Lumpur
Food,1.6,True,Johor Bahru
Documents,1.5,False,Penang
Clothing,4.6,False,Kuala Lumpur
Documents,0.7,False,Kuala Lumpur
Food,3.8,False,Johor Bahru
Electronics,5.2,False,Johor Bahru
Food,1.0,False,Johor Bahru
Food,9.1,False,Johor Bahru
Furniture,42.4,True,Kota Kinabalu
Electronics,13.9,True,Kuala Lumpur
Food,3.9,False,Kota Kinabalu
Furniture,34.6,True,Penang
Machinery,49.4,False,Kuala Lumpur
Clothing,4.9,False,Johor Bahru
Documents,0.7,False,Kuching
Food,4.1,True,Johor Bahru
Electronics,17.9,True,Kota Kinabalu
Documents,1.0,False,Kuala Lumpur
Documents,1.8,False,Kuala Lumpur
Furniture,32.2,False,Kuching
Clothing,1.0,False,Kuala Lumpur
Clothing,1.2,False,Kuala Lumpur
Food,9.2,True,Kuching
Clothing,2.9,False,Kuala Lumpur
Furniture,49.5,False,Kota Kinabalu
Food,2.1,True,Johor Bahru
Machinery,37.2,True,Kuching
Furniture,36.2,False,Penang
Documents,1.8,False,Penang
Food,9.2,False,Kuala Lumpur
Clothing,3.2,False,Kuala Lumpur
Electronics,8.9,True,Penang
Electronics,17.9,True,Kuala Lumpur
Electronics,12.7,False,Kuching
Furniture,36.3,False,Kota Kinabalu
Documents,1.8,False,Johor Bahru
Machinery,37.4,False,Kota Kinabalu
Machinery,53.5,False,Kuching
Documents,1.6,False,Kota Kinabalu
Food,1.1,False,Kota Kinabalu
Documents,1.3,False,Johor Bahru
Machinery,49.8,False,Penang
Documents,0.6,False,Johor Bahru
Electronics,11.7,True,Kota Kinabalu
Furniture,38.5,False,Kuala Lumpur
Electronics,5.7,False,Penang
Electronics,16.1,True,Johor Bahru
Furniture,45.4,False,Penang
Documents,1.8,False,Kuala Lumpur
Machinery,43.1,False,Penang
Food,8.8,False,Kuala Lumpur
Machinery,50.7,False,Kota Kinabalu
Food,8.3,False,Kuching
Clothing,1.4,False,Kuching
Electronics,9.7,True,Penang
Electronics,7.6,False,Penang
Clothing,0.6,False,Kuala Lumpur
Food,6.8,False,Kuching
Machinery,44.5,True,Penang
Clothing,1.9,False,Penang
Furniture,48.0,False,Kuching
Food,1.8,False,Kuala Lumpur
Clothing,3.6,False,Johor Bahru
Furniture,34.8,True,Johor Bahru
Documents,1.4,False,Kuching
Documents,0.5,False,Kuching
Electronics,10.8,False,Penang
Electronics,19.0,True,Penang
Clothing,2.3,False,Kuching
Food,3.1,True,Johor Bahru
Clothing,3.8,False,Penang
Food,8.0,False,Kuala Lumpur
Food,4.8,True,Kota Kinabalu
Clothing,3.6,True,Kota Kinabalu
Clothing,2.8,False,Kuching
Machinery,33.7,False,Kuala Lumpur
Electronics,13.7,True,Kuching
Machinery,53.9,False,Penang
Documents,1.3,False,Penang
Machinery,65.7,False,Kuching
Clothing,1.6,False,Kota Kinabalu
Electronics,17.9,True,Kuching
Clothing,1.3,True,Kota Kinabalu
Documents,1.9,False,Kuala Lumpur
Furniture,47.0,True,Johor Bahru
Machinery,35.5,False,Penang
Furniture,48.8,False,Kuching
Food,7.0,True,Penang
Machinery,34.2,False,Kota Kinabalu
Electronics,14.8,True,Penang
Furniture,20.2,True,Kuching
Machinery,30.5,False,Johor Bahru
Food,6.6,True,Kuala Lumpur
Electronics,5.1,True,Johor Bahru
Machinery,59.0,True,Kota Kinabalu
Food,1.9,True,Johor Bahru
Documents,1.6,False,Kuala Lumpur
Machinery,38.5,False,Kuala Lumpur
Food,7.3,False,Kuala Lumpur
Machinery,30.2,False,Kuala Lumpur
Food,4.7,False,Johor Bahru
Furniture,45.6,False,Kuching
Electronics,11.0,True,Kuala Lumpur
Machinery,45.2,False,Kota Kinabalu
Electronics,7.6,True,Kuching
Documents,1.4,False,Kuala Lumpur
Furniture,30.8,False,Penang
Machinery,50.0,False,Penang
Electronics,9.3,True,Kota Kinabalu
Food,4.5,True,Kuala Lumpur
Electronics,16.9,True,Kuching
Furniture,44.9,False,Kuching
Documents,1.2,False,Kuala Lumpur
Food,7.0,False,Kota Kinabalu
Clothing,4.4,False,Johor Bahru
Clothing,1.0,False,Penang
Documents,1.4,True,Penang
Documents,1.6,False,Penang
Furniture,26.0,False,Kuala Lumpur
Machinery,44.2,False,Penang
Machinery,31.5,False,Johor Bahru
Clothing,0.9,False,Johor Bahru
Machinery,57.2,False,Johor Bahru
Documents,0.7,False,Kuching
Electronics,8.3,True,Kota Kinabalu
Food,4.6,False,Kota Kinabalu
Electronics,11.2,True,Kuala Lumpur
Documents,0.9,False,Kuching
Electronics,19.7,True,Kuching
Food,5.2,False,Penang
Clothing,2.2,False,Penang
Documents,0.9,False,Kuching
Documents,1.8,True,Kuching
Furniture,27.6,False,Kuching
Furniture,30.8,False,Kuala Lumpur
Clothing,3.0,False,Johor Bahru
Documents,0.7,False,Kota Kinabalu
Documents,0.6,True,Kota Kinabalu
Electronics,19.4,False,Kuching
Machinery,61.7,False,Kota Kinabalu
Machinery,58.4,False,Kuala Lumpur
Machinery,58.4,True,Kota Kinabalu
Machinery,31.1,False,Kuching
Machinery,37.0,False,Kuala Lumpur
Furniture,34.9,True,Johor Bahru
Documents,0.7,False,Kuala Lumpur
Clothing,4.5,False,Johor Bahru
Documents,0.7,False,Johor Bahru
Machinery,50.6,False,Kuala Lumpur
Food,7.7,True,Kota Kinabalu
Machinery,58.0,False,Kuching
Documents,0.9,False,Kuching
Furniture,48.6,False,Kota Kinabalu
Electronics,19.7,True,Kota Kinabalu
Documents,1.8,False,Kota Kinabalu
Machinery,64.3,False,Johor Bahru
Machinery,51.0,True,Penang
Food,2.7,False,Kuching
Food,4.3,True,Kota Kinabalu
Food,8.9,True,Penang
Clothing,1.3,False,Johor Bahru
Machinery,62.0,False,Kota Kinabalu
Machinery,60.5,False,Johor Bahru
Documents,1.6,False,Penang
Furniture,42.6,True,Kuala Lumpur
Machinery,47.8,False,Kuala Lumpur
Clothing,3.0,False,Kuching
Clothing,3.3,False,Kuching
Clothing,1.0,False,Kuching
Furniture,40.6,False,Kuala Lumpur
Electronics,14.6,True,Johor Bahru
Food,3.7,False,Kuala Lumpur
Furniture,29.8,False,Kuala Lumpur
Clothing,1.2,False,Kuching
Documents,0.8,False,Johor Bahru
Clothing,4.1,False,Johor Bahru
Clothing,5.0,False,Kuala Lumpur
Furniture,37.9,False,Kuala Lumpur
Documents,1.0,True,Kota Kinabalu
Electronics,10.2,False,Johor Bahru
Food,3.8,False,Kota Kinabalu
Documents,0.6,False,Johor Bahru
Furniture,44.8,False,Penang
Furniture,23.7,True,Kuala Lumpur
Clothing,3.6,False,Kuching
Clothing,2.3,False,Kuching
Machinery,36.7,False,Kuching
Furniture,23.6,True,Penang
Furniture,49.5,True,Kuching
Food,6.0,False,Kota Kinabalu
Clothing,3.3,False,Penang
Machinery,65.0,False,Johor Bahru
Electronics,13.8,True,Kota Kinabalu
Furniture,36.2,True,Kota Kinabalu
Food,9.4,False,Kota Kinabalu
Food,1.1,True,Penang
Documents,1.1,False,Penang
Documents,2.0,False,Penang
Furniture,30.5,False,Kuala Lumpur
Machinery,31.5,False,Johor Bahru
Furniture,29.3,False,Johor Bahru
Documents,1.2,False,Kota Kinabalu
Furniture,21.9,False,Johor Bahru
Clothing,0.9,False,Kuching
Food,10.0,True,Kota Kinabalu
Furniture,20.5,False,Kuching
Clothing,2.3,True,Johor Bahru
Clothing,4.5,True,Kuching
Machinery,31.9,False,Kota Kinabalu
Documents,0.6,False,Penang
Machinery,45.3,False,Kuching
Food,8.9,True,Kuala Lumpur
Clothing,2.8,False,Penang
Clothing,1.5,False,Kuching
Food,3.2,False,Johor Bahru
Food,8.7,False,Kota Kinabalu
Electronics,9.8,True,Johor Bahru
Clothing,2.4,True,Kuching
Machinery,45.7,True,Penang
Electronics,16.3,True,Johor Bahru
Clothing,2.8,False,Kota Kinabalu
Documents,1.3,False,Johor Bahru
Clothing,3.9,True,Kota Kinabalu
Documents,1.5,False,Kuching
Food,9.8,False,Johor Bahru
Electronics,5.8,True,Kota Kinabalu
Food,5.3,True,Kuching
Clothing,2.5,False,Kuala Lumpur
Clothing,2.0,False,Kuala Lumpur
Clothing,3.3,False,Kota Kinabalu
Electronics,7.3,True,Kota Kinabalu
Documents,0.7,False,Johor Bahru
Food,1.4,True,Kuala Lumpur
Documents,0.7,False,Kota Kinabalu
Electronics,9.0,True,Kota Kinabalu
Machinery,57.4,True,Penang
